Store,Date,Type,Size,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,Weekly_Sales
1,2010-02-05,A,151315,42.31,2.572,211.0963582,8.106,False,0.0,0.0,0.0,0.0,0.0,1643690.9
1,2010-02-12,A,151315,38.51,2.548,211.2421698,8.106,True,0.0,0.0,0.0,0.0,0.0,1641957.44
1,2010-02-19,A,151315,39.93,2.514,211.2891429,8.106,False,0.0,0.0,0.0,0.0,0.0,1611968.17
1,2010-02-26,A,151315,46.63,2.561,211.3196429,8.106,False,0.0,0.0,0.0,0.0,0.0,1409727.59
1,2010-03-05,A,151315,46.5,2.625,211.3501429,8.106,False,0.0,0.0,0.0,0.0,0.0,1554806.68
1,2010-03-12,A,151315,57.79,2.667,211.3806429,8.106,False,0.0,0.0,0.0,0.0,0.0,1439541.59
1,2010-03-19,A,151315,54.58,2.72,211.215635,8.106,False,0.0,0.0,0.0,0.0,0.0,1472515.79
1,2010-03-26,A,151315,51.45,2.732,211.0180424,8.106,False,0.0,0.0,0.0,0.0,0.0,1404429.92
1,2010-04-02,A,151315,62.27,2.719,210.8204499,7.808,False,0.0,0.0,0.0,0.0,0.0,1594968.28
1,2010-04-09,A,151315,65.86,2.77,210.6228574,7.808,False,0.0,0.0,0.0,0.0,0.0,1545418.53
1,2010-04-16,A,151315,66.32,2.808,210.4887,7.808,False,0.0,0.0,0.0,0.0,0.0,1466058.28
1,2010-04-23,A,151315,64.84,2.795,210.4391228,7.808,False,0.0,0.0,0.0,0.0,0.0,1391256.12
1,2010-04-30,A,151315,67.41,2.78,210.3895456,7.808,False,0.0,0.0,0.0,0.0,0.0,1425100.71
1,2010-05-07,A,151315,72.55,2.835,210.3399684,7.808,False,0.0,0.0,0.0,0.0,0.0,1603955.1199999999
1,2010-05-14,A,151315,74.78,2.854,210.3374261,7.808,False,0.0,0.0,0.0,0.0,0.0,1494251.5
1,2010-05-21,A,151315,76.44,2.826,210.6170934,7.808,False,0.0,0.0,0.0,0.0,0.0,1399662.07
1,2010-05-28,A,151315,80.44,2.759,210.8967606,7.808,False,0.0,0.0,0.0,0.0,0.0,1432069.95
1,2010-06-04,A,151315,80.69,2.705,211.1764278,7.808,False,0.0,0.0,0.0,0.0,0.0,1615524.71
1,2010-06-11,A,151315,80.43,2.668,211.4560951,7.808,False,0.0,0.0,0.0,0.0,0.0,1542561.09
1,2010-06-18,A,151315,84.11,2.637,211.4537719,7.808,False,0.0,0.0,0.0,0.0,0.0,1503284.06
1,2010-06-25,A,151315,84.34,2.653,211.3386526,7.808,False,0.0,0.0,0.0,0.0,0.0,1422711.6
1,2010-07-02,A,151315,80.91,2.669,211.2235333,7.787,False,0.0,0.0,0.0,0.0,0.0,1492418.1400000001
1,2010-07-09,A,151315,80.48,2.642,211.108414,7.787,False,0.0,0.0,0.0,0.0,0.0,1546074.18
1,2010-07-16,A,151315,83.15,2.623,211.1003854,7.787,False,0.0,0.0,0.0,0.0,0.0,1448938.92
1,2010-07-23,A,151315,83.36,2.608,211.2351443,7.787,False,0.0,0.0,0.0,0.0,0.0,1385065.2
1,2010-07-30,A,151315,81.84,2.64,211.3699032,7.787,False,0.0,0.0,0.0,0.0,0.0,1371986.6
1,2010-08-06,A,151315,87.16,2.627,211.5046621,7.787,False,0.0,0.0,0.0,0.0,0.0,1605491.78
1,2010-08-13,A,151315,87.0,2.692,211.6394211,7.787,False,0.0,0.0,0.0,0.0,0.0,1508237.76
1,2010-08-20,A,151315,86.65,2.664,211.6033633,7.787,False,0.0,0.0,0.0,0.0,0.0,1513080.49
1,2010-08-27,A,151315,85.22,2.619,211.5673056,7.787,False,0.0,0.0,0.0,0.0,0.0,1449142.92
1,2010-09-03,A,151315,81.21,2.577,211.5312479,7.787,False,0.0,0.0,0.0,0.0,0.0,1540163.53
1,2010-09-10,A,151315,78.69,2.565,211.4951902,7.787,True,0.0,0.0,0.0,0.0,0.0,1507460.69
1,2010-09-17,A,151315,82.11,2.582,211.5224596,7.787,False,0.0,0.0,0.0,0.0,0.0,1430378.67
1,2010-09-24,A,151315,80.94,2.624,211.5972246,7.787,False,0.0,0.0,0.0,0.0,0.0,1351791.03
1,2010-10-01,A,151315,71.89,2.603,211.6719895,7.838,False,0.0,0.0,0.0,0.0,0.0,1453329.5
1,2010-10-08,A,151315,63.93,2.633,211.7467544,7.838,False,0.0,0.0,0.0,0.0,0.0,1508239.93
1,2010-10-15,A,151315,67.18,2.72,211.8137436,7.838,False,0.0,0.0,0.0,0.0,0.0,1459409.1
1,2010-10-22,A,151315,69.86,2.725,211.8612937,7.838,False,0.0,0.0,0.0,0.0,0.0,1345454.0
1,2010-10-29,A,151315,69.64,2.716,211.9088438,7.838,False,0.0,0.0,0.0,0.0,0.0,1384209.22
1,2010-11-05,A,151315,58.74,2.689,211.9563939,7.838,False,0.0,0.0,0.0,0.0,0.0,1551659.28
1,2010-11-12,A,151315,59.61,2.728,212.003944,7.838,False,0.0,0.0,0.0,0.0,0.0,1494479.49
1,2010-11-19,A,151315,51.41,2.771,211.8896737,7.838,False,0.0,0.0,0.0,0.0,0.0,1483784.18
1,2010-11-26,A,151315,64.52,2.735,211.7484333,7.838,True,0.0,0.0,0.0,0.0,0.0,1955624.11
1,2010-12-03,A,151315,49.27,2.708,211.607193,7.838,False,0.0,0.0,0.0,0.0,0.0,1548033.78
1,2010-12-10,A,151315,46.33,2.843,211.4659526,7.838,False,0.0,0.0,0.0,0.0,0.0,1682614.26
1,2010-12-17,A,151315,49.84,2.869,211.4053124,7.838,False,0.0,0.0,0.0,0.0,0.0,1891034.93
1,2010-12-24,A,151315,52.33,2.886,211.4051222,7.838,False,0.0,0.0,0.0,0.0,0.0,2387950.2
1,2010-12-31,A,151315,48.43,2.943,211.4049321,7.838,True,0.0,0.0,0.0,0.0,0.0,1367320.01
1,2011-01-07,A,151315,48.27,2.976,211.4047419,7.742,False,0.0,0.0,0.0,0.0,0.0,1444732.28
1,2011-01-14,A,151315,35.4,2.983,211.4574109,7.742,False,0.0,0.0,0.0,0.0,0.0,1391013.96
1,2011-01-21,A,151315,44.04,3.016,211.8272343,7.742,False,0.0,0.0,0.0,0.0,0.0,1327405.42
1,2011-01-28,A,151315,43.83,3.01,212.1970577,7.742,False,0.0,0.0,0.0,0.0,0.0,1316899.31
1,2011-02-04,A,151315,42.27,2.989,212.5668812,7.742,False,0.0,0.0,0.0,0.0,0.0,1606629.58
1,2011-02-11,A,151315,36.39,3.022,212.9367046,7.742,True,0.0,0.0,0.0,0.0,0.0,1649614.93
1,2011-02-18,A,151315,57.36,3.045,213.2478853,7.742,False,0.0,0.0,0.0,0.0,0.0,1686842.78
1,2011-02-25,A,151315,62.9,3.065,213.535609,7.742,False,0.0,0.0,0.0,0.0,0.0,1456800.28
1,2011-03-04,A,151315,59.58,3.288,213.8233327,7.742,False,0.0,0.0,0.0,0.0,0.0,1636263.41
1,2011-03-11,A,151315,53.56,3.459,214.1110564,7.742,False,0.0,0.0,0.0,0.0,0.0,1553191.63
1,2011-03-18,A,151315,62.76,3.488,214.3627114,7.742,False,0.0,0.0,0.0,0.0,0.0,1576818.06
1,2011-03-25,A,151315,69.97,3.473,214.5999389,7.742,False,0.0,0.0,0.0,0.0,0.0,1541102.3800000001
1,2011-04-01,A,151315,59.17,3.524,214.8371664,7.682,False,0.0,0.0,0.0,0.0,0.0,1495064.75
1,2011-04-08,A,151315,67.84,3.622,215.0743939,7.682,False,0.0,0.0,0.0,0.0,0.0,1614259.35
1,2011-04-15,A,151315,71.27,3.743,215.2918561,7.682,False,0.0,0.0,0.0,0.0,0.0,1559889.0
1,2011-04-22,A,151315,72.99,3.807,215.4599053,7.682,False,0.0,0.0,0.0,0.0,0.0,1564819.81
1,2011-04-29,A,151315,72.03,3.81,215.6279544,7.682,False,0.0,0.0,0.0,0.0,0.0,1455090.69
1,2011-05-06,A,151315,64.61,3.906,215.7960035,7.682,False,0.0,0.0,0.0,0.0,0.0,1629391.28
1,2011-05-13,A,151315,75.64,3.899,215.9640526,7.682,False,0.0,0.0,0.0,0.0,0.0,1604775.58
1,2011-05-20,A,151315,67.63,3.907,215.7339202,7.682,False,0.0,0.0,0.0,0.0,0.0,1428218.27
1,2011-05-27,A,151315,77.72,3.786,215.5037878,7.682,False,0.0,0.0,0.0,0.0,0.0,1466046.67
1,2011-06-03,A,151315,83.0,3.699,215.2736553,7.682,False,0.0,0.0,0.0,0.0,0.0,1635078.41
1,2011-06-10,A,151315,83.13,3.648,215.0435229,7.682,False,0.0,0.0,0.0,0.0,0.0,1588948.32
1,2011-06-17,A,151315,86.41,3.637,214.9980596,7.682,False,0.0,0.0,0.0,0.0,0.0,1532114.86
1,2011-06-24,A,151315,83.58,3.594,215.0910982,7.682,False,0.0,0.0,0.0,0.0,0.0,1438830.15
1,2011-07-01,A,151315,85.55,3.524,215.1841368,7.962,False,0.0,0.0,0.0,0.0,0.0,1488538.09
1,2011-07-08,A,151315,85.83,3.48,215.2771754,7.962,False,0.0,0.0,0.0,0.0,0.0,1534849.64
1,2011-07-15,A,151315,88.54,3.575,215.3611087,7.962,False,0.0,0.0,0.0,0.0,0.0,1455119.97
1,2011-07-22,A,151315,85.77,3.651,215.4222784,7.962,False,0.0,0.0,0.0,0.0,0.0,1396926.82
1,2011-07-29,A,151315,86.83,3.682,215.4834482,7.962,False,0.0,0.0,0.0,0.0,0.0,1352219.79
1,2011-08-05,A,151315,91.65,3.684,215.544618,7.962,False,0.0,0.0,0.0,0.0,0.0,1624383.75
1,2011-08-12,A,151315,90.76,3.638,215.6057878,7.962,False,0.0,0.0,0.0,0.0,0.0,1525147.09
1,2011-08-19,A,151315,89.94,3.554,215.6693107,7.962,False,0.0,0.0,0.0,0.0,0.0,1530761.43
1,2011-08-26,A,151315,87.96,3.523,215.7332258,7.962,False,0.0,0.0,0.0,0.0,0.0,1464693.46
1,2011-09-02,A,151315,87.83,3.533,215.7971409,7.962,False,0.0,0.0,0.0,0.0,0.0,1550229.22
1,2011-09-09,A,151315,76.0,3.546,215.861056,7.962,True,0.0,0.0,0.0,0.0,0.0,1540471.24
1,2011-09-16,A,151315,79.94,3.526,216.0410526,7.962,False,0.0,0.0,0.0,0.0,0.0,1514259.78
1,2011-09-23,A,151315,75.8,3.467,216.3758246,7.962,False,0.0,0.0,0.0,0.0,0.0,1380020.27
1,2011-09-30,A,151315,79.69,3.355,216.7105965,7.962,False,0.0,0.0,0.0,0.0,0.0,1394561.83
